Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Scope,Variant,Sample Size,Participation Rate,Participation,Precision,ANO,ODS,Piráti,SPD,Stačilo!,KSČM,SOCDEM,KDU-ČSL,TOP 09,STAN,Svobodní,Zelení,Úsvit,Trikolóra,STAN-TOP,ČSL-STAN,SPOLU,Pir-STAN,TSS,Přísaha,AUTO,Přísaha+AUTO,VB,PRO,DSSS,SPOZ,VV,US-DEU,Koalice,DEU,SPR-RSC,NEZ,SNK-ED,SŽJ,ODA,LB,HSMS-MNS,ODS+KDS,LB+KSČM,LSU,ZS,ČSS,OH,KDS,Other,Source
CVVM,2018-10-13,2018-10-26,FALSE,National,,1001,0.61,718,0.1,0.3,0.188,0.112,0.052,,0.087,0.092,0.07,0.034,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2018-10-06,2018-10-26,FALSE,National,,1200,,821,0.5,0.27,0.14,0.16,0.075,,0.065,0.055,0.06,0.05,0.07,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/vladni-strany-v-rijnu-oslabily-cssd-se-propadla-k-petiprocentni-hranici-73085
Median,2018-09-25,2018-10-25,FALSE,National,,1097,0.645,,0.5,0.285,0.12,0.12,0.09,,0.085,0.095,0.05,0.055,0.055,0.015,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://www.median.eu/cs/wp-content/uploads/2018/11/MEDIAN_Snemovni_volebni_model_2018_10.pdf
STEM,2018-10-09,2018-10-24,FALSE,National,,1011,0.57,,0.1,0.334,0.129,0.126,0.096,,0.074,0.067,0.064,0.021,0.053,0.005,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.stem.cz/stem-volebni-preference-rijen-2018/
Median,2018-08-29,2018-09-24,TRUE,National,,,,,0.5,0.285,0.14,0.115,0.085,,0.085,0.09,0.055,0.06,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.median.eu/cs/wp-content/uploads/2018/11/MEDIAN_Snemovni_volebni_model_2018_10.pdf
Kantar,2018-09-01,2018-09-21,FALSE,National,,1200,,860,0.5,0.295,0.13,0.155,0.09,,0.055,0.07,0.05,0.04,0.055,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://ct24.ceskatelevize.cz/clanek/domaci/prevaha-hnuti-ano-je-pevna-od-snemovnich-voleb-posiluji-vyrazne-jenom-pirati-75905
CVVM,2018-09-08,2018-09-20,FALSE,National,,1005,0.63,731,0.5,0.3,0.14,0.13,0.05,,0.105,0.12,0.045,0.04,0.04,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4721/f9/pv180927.pdf
Median,2018-07-25,2018-08-28,FALSE,National,,1053,0.63,,0.5,0.31,0.14,0.105,0.08,,0.09,0.085,0.055,0.055,0.035,0.015,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://www.median.eu/cs/wp-content/uploads/2018/08/MEDIAN_Snemovni_volebni_model_2018_08.pdf
Kantar,2018-08-04,2018-08-26,FALSE,National,,1200,,851,0.5,0.28,0.13,0.15,0.08,,0.08,0.065,0.055,0.05,0.065,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://ct24.ceskatelevize.cz/clanek/domaci/ano-si-drzi-v-preferencich-naskok-pirati-uzmuli-ods-druhe-misto-75195
Median,2018-06-27,2018-07-23,FALSE,National,,1235,0.625,,0.5,0.3,0.14,0.115,0.085,,0.085,0.085,0.055,0.05,0.04,0.015,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,https://www.median.eu/cs/wp-content/uploads/2018/07/MEDIAN_Snemovni_volebni_model_2018_07.pdf
CVVM,2018-06-16,2018-06-29,FALSE,National,,1046,0.62,747,0.5,0.31,0.14,0.1,0.065,,0.105,0.11,0.06,0.045,0.045,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4667/f9/pv180712.pdf
STEM,2018-06-13,2018-06-27,FALSE,National,,1007,0.55,,0.1,0.32,0.155,0.102,0.086,,0.091,0.079,0.063,0.049,0.027,0.019,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,https://www.stem.cz/stem-volebni-preference-cerven-2018/
Median,2018-05-25,2018-06-26,FALSE,National,,1141,0.615,,0.5,0.315,0.125,0.115,0.085,,0.08,0.09,0.045,0.06,0.04,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://www.median.eu/cs/wp-content/uploads/2018/06/MEDIAN_Snemovni_volebni_model_2018_06-1.pdf
Kantar,2018-06-02,2018-06-22,FALSE,National,,1200,,854,0.5,0.285,0.155,0.12,0.095,,0.07,0.08,0.05,0.035,0.055,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/propad-hnuti-ano-se-zastavil-ve-volebnim-modelu-nejvic-ztratili-pirati-a-top-09-78276
Kantar,2018-05-12,2018-06-01,FALSE,National,,1200,,868,0.5,0.27,0.16,0.145,0.09,,0.075,0.07,0.04,0.05,0.055,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-ztraci-podporu-lidovci-skoncili-pod-peti-procenty-nejvic-posiluji-obcansti-demokrate-79901
CVVM,2018-05-12,2018-05-24,FALSE,National,,969,0.63,703,0.5,0.29,0.13,0.11,0.075,,0.105,0.13,0.055,0.03,0.045,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4638/f9/pv180604.pdf
Median,2018-04-10,2018-05-05,FALSE,National,,1224,0.595,,0.5,0.305,0.14,0.115,0.09,,0.085,0.08,0.055,0.06,0.04,0.01,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,https://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf
STEM,2018-04-19,2018-04-29,FALSE,National,,1046,0.58,,0.1,0.329,0.137,0.135,0.09,,0.085,0.07,0.054,0.039,0.039,0.008,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,https://www.stem.cz/stem-volebni-preference-duben-2018/
Kantar,2018-04-07,2018-04-27,FALSE,National,,1200,,887,0.5,0.305,0.145,0.145,0.08,,0.08,0.065,0.055,0.04,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://ct24.ceskatelevize.cz/clanek/domaci/ano-dosahuje-ve-volebnim-modelu-pres-tricet-procent-cssd-se-nedari-zvratit-propad-81137
CVVM,2018-04-07,2018-04-19,FALSE,National,,1068,0.58,753,0.5,0.29,0.135,0.125,0.075,,0.1,0.115,0.065,0.045,0.03,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4600/f9/pv180427.pdf
Kantar,2018-03-10,2018-03-29,FALSE,National,,1200,,847,0.5,0.295,0.14,0.135,0.075,,0.065,0.085,0.05,0.045,0.06,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://ct24.ceskatelevize.cz/clanek/domaci/pruzkum-pro-ct-volby-by-vyhralo-ano-v-breznu-ale-ztracelo-sve-podporovatele-83989
Median,2018-03-26,2018-03-26,TRUE,National,,1013,,,0.5,0.295,0.13,0.12,0.085,,0.095,0.075,0.055,0.05,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf
CVVM,2018-03-03,2018-03-15,FALSE,National,,1021,0.64,758,0.5,0.305,0.125,0.125,0.065,,0.11,0.11,0.045,0.045,0.045,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4563/f9/pv180326.pdf
Median,2018-02-01,2018-02-28,TRUE,National,,,,,0.5,0.285,0.12,0.13,0.095,,0.08,0.075,0.06,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf
Kantar,2018-02-03,2018-02-23,FALSE,National,,1200,,884,0.5,0.33,0.12,0.125,0.085,,0.065,0.075,0.05,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,https://ct24.ceskatelevize.cz/clanek/domaci/hnuti-ano-dal-posiluje-top-09-a-stan-by-se-naopak-do-snemovny-nemusely-dostat-85205
CVVM,2018-02-03,2018-02-15,FALSE,National,,1072,0.64,812,0.5,0.335,0.105,0.13,0.065,,0.1,0.12,0.035,0.035,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4530/f9/pv180226.pdf
STEM,2018-02-01,2018-02-08,FALSE,National,,1028,0.62,,0.1,0.325,0.11,0.133,0.095,,0.087,0.071,0.052,0.046,0.04,0.018,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,https://www.stem.cz/stem-volebni-preference-unor-2018/
Median,2018-01-22,2018-01-29,TRUE,National,,1061,,,0.5,0.315,0.12,0.115,0.09,,0.085,0.07,0.05,0.055,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf
CVVM,2018-01-15,2018-01-24,FALSE,National,,1033,0.66,794,0.5,0.305,0.12,0.125,0.075,,0.08,0.125,0.05,0.04,0.03,0.015,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4506/f9/pv180206.pdf
CVVM,2017-12-02,2017-12-17,FALSE,National,,997,0.61,715,0.5,0.355,0.115,0.115,0.065,,0.075,0.1,0.065,0.045,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4476/f9/pv171221.pdf
Median,2017-12-09,2017-12-14,TRUE,National,,1504,,,0.5,0.315,0.13,0.1,0.105,,0.08,0.075,0.06,0.045,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.median.eu/cs/wp-content/uploads/2018/05/MEDIAN_Snemovni_volebni_model_2018_04.pdf
STEM,2017-12-01,2017-12-11,FALSE,National,,1027,0.62,,0.1,0.33,0.114,0.122,0.087,,0.088,0.08,0.054,0.044,0.052,0.008,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,https://www.stem.cz/stem-volebni-preference-prosinec-2017/
Kantar,2017-11-04,2017-11-24,FALSE,National,,1200,,891,0.5,0.3,0.12,0.14,0.095,,0.07,0.055,0.045,0.05,0.055,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://ct24.ceskatelevize.cz/clanek/domaci/po-volbach-nejvic-posiluji-pirati-socialni-demokrate-dal-ztraci-volice-87464
STEM,2017-10-30,2017-11-09,TRUE,National,,1022,,,0.1,0.309,0.12,0.104,0.1,,0.083,0.082,0.061,0.046,0.039,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/stem-volebni-preference-prosinec-2017/
ELECTION,2017-10-20,2017-10-21,FALSE,National,,8374501,0.6084,5060745,0.01,0.2964,0.1132,0.1079,0.1064,,0.0776,0.0727,0.058,0.0531,0.0518,0.0156,0.0146,,,,,,,,,,,,,0.002,0.0036,,,,,,,,,,,,,,,,,,,,
CVVM,2017-10-09,2017-10-19,FALSE,National,,905,0.65,509,0.5,0.285,0.085,0.09,0.105,,0.1,0.125,0.055,0.065,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Median,2017-09-26,2017-10-14,FALSE,National,,1081,0.64,,0.5,0.25,0.09,0.085,0.095,,0.105,0.125,0.065,0.06,0.04,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://www.median.eu/cs/wp-content/uploads/2017/10/MEDIAN_Snemovni_volebni_model_2017_10.pdf
Median,2017-08-28,2017-09-25,FALSE,National,,1243,0.62,,0.5,0.27,0.095,0.06,0.065,,0.125,0.135,0.06,0.07,0.04,0.02,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://www.median.eu/cs/wp-content/uploads/2017/09/MEDIAN_Snemovni_volebni_model_2017_09-1.pdf
CVVM,2017-09-04,2017-09-14,FALSE,National,,934,0.61,452,0.1,0.309,0.091,0.064,0.073,,0.111,0.131,0.062,0.044,0.027,0.018,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4415/f9/pv170925.pdf
Median,2017-07-26,2017-08-23,FALSE,National,,1043,0.64,,0.5,0.265,0.1,0.035,0.06,,0.13,0.145,0.065,0.09,0.035,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,https://www.median.eu/cs/wp-content/uploads/2017/08/MEDIAN_Snemovni_volebni_model_2017_08.pdf
Median,2017-06-26,2017-07-24,FALSE,National,,1028,0.6,,0.5,0.275,0.11,0.04,0.055,,0.145,0.14,,0.075,,0.02,0.02,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2016/01/MEDIAN_Snemovni_volebni_model_2017_07.pdf
STEM,2017-06-21,2017-07-03,FALSE,National,,1038,0.58,,0.1,0.329,0.091,0.031,0.045,,0.143,0.133,0.067,0.062,0.019,0.013,0.02,0.022,,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,0.014,https://www.stem.cz/stem-volebni-preference-na-konci-cervna-2017/
Kantar,2017-06-05,2017-06-25,FALSE,National,,1200,,869,0.5,0.335,0.11,0.04,0.075,,0.105,0.1,,0.075,,,0.02,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,https://ct24.ceskatelevize.cz/sites/default/files/1941169-trendy_ceska_2017_vlna_35_cerven_volebni_model.pdf
Median,2017-05-20,2017-06-25,FALSE,National,,1005,0.58,,0.5,0.275,0.1,0.035,0.045,,0.155,0.14,,0.075,,0.025,0.03,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2017/06/MEDIAN_Snemovni_volebni_model_2017_06.pdf
CVVM,2017-06-05,2017-06-18,FALSE,National,,924,0.6,523,0.5,0.34,0.11,0.035,0.045,,0.145,0.12,0.075,0.065,0.01,0.015,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4368/f9/pv170626.pdf
STEM,2017-06-05,2017-06-15,FALSE,National,,950,0.56,,0.1,0.328,0.096,0.038,0.044,,0.127,0.114,0.074,0.055,0.009,0.017,0.023,0.031,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,0.032,https://www.stem.cz/stem-volebni-preference-cerven-2017/
Kantar,2017-05-09,2017-05-29,FALSE,National,,1200,,813,0.5,0.315,0.115,0.04,0.06,,0.105,0.1,0.085,0.09,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24.ceskatelevize.cz/sites/default/files/1927281-trendy_ceska_2017_vlna_34_kveten_model.pdf
Median,2017-05-04,2017-05-19,FALSE,National,,1052,0.65,,0.5,0.26,0.095,0.045,0.05,,0.135,0.14,0.07,0.09,0.025,0.02,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://www.median.eu/cs/wp-content/uploads/2017/05/SEZNAM_Vliv_krize_na_volebni_chovani.pdf
CVVM,2017-05-08,2017-05-18,FALSE,National,,944,0.56,488,0.5,0.33,0.13,0.04,0.025,,0.115,0.14,0.085,0.07,0.02,0.01,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4332/f9/pv170526.pdf
Median,2017-04-05,2017-05-03,FALSE,National,,942,0.605,,0.5,0.275,0.09,0.03,0.04,,0.125,0.18,0.065,0.08,0.025,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://www.median.eu/cs/wp-content/uploads/2016/06/MEDIAN_Snemovni_volebni_model_2017_04.pdf
Kantar,2017-04-01,2017-04-24,FALSE,National,,1200,,853,0.5,0.315,0.115,0.04,0.065,,0.105,0.12,0.07,0.065,0.035,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://ct24.ceskatelevize.cz/sites/default/files/1907018-trendy_ceska_2017_vlna_33_volebni_model.pdf
STEM,2017-04-06,2017-04-14,FALSE,National,,1033,0.54,,0.1,0.283,0.074,0.046,0.042,,0.122,0.166,0.071,0.064,0.022,0.014,0.039,0.026,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,0.022,https://www.stem.cz/stem-volebni-preference-duben-2017/
CVVM,2017-04-03,2017-04-13,FALSE,National,,965,0.59,528,0.5,0.335,0.105,0.035,0.03,,0.125,0.16,0.075,0.06,0.02,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4283/f9/pv170424.pdf
Median,2017-03-06,2017-04-07,FALSE,National,,1087,0.59,,0.5,0.285,0.075,0.03,0.04,,0.135,0.2,0.065,0.08,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://www.median.eu/cs/wp-content/uploads/2017/04/MEDIAN_Snemovni_volebni_model_2017_03.pdf
Kantar,2017-03-04,2017-03-24,FALSE,National,,1200,,837,0.5,0.32,0.085,0.04,0.065,,0.115,0.125,0.065,0.065,0.04,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,https://ct24.ceskatelevize.cz/sites/default/files/1895781-trendy_ceska_2017_vlna_32_brezen_volebni_model.pdf
CVVM,2017-03-06,2017-03-19,FALSE,National,,971,0.59,526,0.5,0.325,0.085,0.015,0.05,,0.12,0.22,0.065,0.055,0.01,,0.015,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a4272/f9/pv170324.pdf
STEM,2017-02-27,2017-03-06,FALSE,National,,1042,0.56,,0.1,0.27,0.073,0.055,0.04,,0.139,0.155,0.076,0.067,0.022,0.012,0.026,0.042,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,0.018,https://www.stem.cz/stem-volebni-preference-brezen-2017/
Median,2017-02-03,2017-03-04,FALSE,National,,1040,0.57,,0.5,0.29,0.08,0.02,0.045,,0.12,0.21,0.07,0.07,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://www.median.eu/cs/wp-content/uploads/docs/MEDIAN_Snemovni_volebni_model_2017_02.pdf
Kantar,2017-02-04,2017-03-03,FALSE,National,,1200,,857,0.5,0.32,0.105,0.035,0.065,,0.1,0.15,0.07,0.065,0.02,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://ct24.ceskatelevize.cz/sites/default/files/1883522-trendy_ceska_2016_vlna_31_unor_volebni_model.pdf
CVVM,2017-02-06,2017-02-19,FALSE,National,,953,0.59,522,0.5,0.315,0.1,0.03,0.03,,0.105,0.2,0.09,0.065,0.01,,0.025,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a2165/f9/pv170227.pdf
Median,2017-01-01,2017-02-02,FALSE,National,,1064,0.585,,0.5,0.285,0.08,0.035,0.045,,0.15,0.195,0.065,0.065,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,https://www.median.eu/cs/wp-content/uploads/2017/02/MEDIAN_Snemovni_volebni_model_2017_01.pdf
STEM,2017-01-11,2017-01-23,FALSE,National,,1048,0.57,,0.1,0.299,0.098,0.041,0.049,,0.126,0.146,0.078,0.046,0.029,0.014,0.021,0.014,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,0.034,https://www.stem.cz/stem-volebni-preference-leden-2017/
CVVM,2017-01-09,2017-01-22,FALSE,National,,976,0.6,533,0.5,0.32,0.09,0.025,0.04,,0.135,0.19,0.065,0.08,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a2152/f9/pv170127.pdf
Median,2016-11-13,2016-12-13,FALSE,National,,1101,0.6,,0.5,0.27,0.095,0.04,0.035,,0.145,0.18,0.065,0.07,0.02,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://www.median.eu/cs/wp-content/uploads/2016/01/MEDIAN_Snemovni_volebni_model_2016_12.pdf
STEM,2016-11-30,2016-12-12,FALSE,National,,1020,0.54,,0.1,0.297,0.075,0.033,0.047,,0.138,0.163,0.069,0.052,0.041,0.005,0.019,0.021,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,0.038,https://www.stem.cz/stem-volebni-preference-prosinec-2016/
CVVM,2016-11-28,2016-12-12,FALSE,National,,977,0.57,501,0.5,0.32,0.085,0.03,0.045,,0.12,0.2,0.085,0.055,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cvvmapp.soc.cas.cz/
Kantar,2016-11-05,2016-11-25,FALSE,National,,1200,,868,0.5,0.335,0.09,0.025,0.06,,0.085,0.14,0.075,0.06,0.04,0.02,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://ct24.ceskatelevize.cz/sites/default/files/1840630-trendy_ceska_2016_vlna_30_listopad_volebni_model.pdf
CVVM,2016-11-07,2016-11-16,FALSE,National,,936,0.56,501,0.5,0.325,0.09,0.015,0.035,,0.145,0.225,0.06,0.05,0.015,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a2126/f9/pv161128.pdf
Median,2016-09-29,2016-10-29,FALSE,National,,1032,0.59,,0.5,0.245,0.095,0.04,0.04,,0.135,0.18,0.07,0.085,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://www.median.eu/cs/wp-content/uploads/2016/01/MEDIAN_Snemovni_volebni_model_2016_10.pdf
Kantar,2016-10-08,2016-10-27,FALSE,National,,1200,0.65,856,0.5,0.34,0.085,0.03,0.065,,0.075,0.15,0.065,0.075,0.045,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24.ceskatelevize.cz/sites/default/files/1829421-trendy_ceska_2016_vlna_29_rijen_volebni_model.pdf
STEM,2016-10-13,2016-10-21,FALSE,National,,1054,0.53,,0.1,0.297,0.09,0.047,0.052,,0.146,0.144,0.067,,,0.027,0.017,0.018,,0.071,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,0.016,https://www.stem.cz/stem-volebni-preference-rijen-2016/
CVVM,2016-10-10,2016-10-17,FALSE,National,,920,0.56,470,0.5,0.345,0.08,0.03,0.04,,0.1,0.195,0.09,0.06,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a2113/f9/pv161101.pdf
Kantar,2016-09-03,2016-09-23,FALSE,National,,600,0.68,,0.5,0.31,0.095,0.035,0.04,,0.1,0.155,0.065,0.085,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24.ceskatelevize.cz/sites/default/files/1829421-trendy_ceska_2016_vlna_29_rijen_volebni_model.pdf
CVVM,2016-09-05,2016-09-19,FALSE,National,,942,0.59,521,0.5,0.285,0.095,0.02,0.025,,0.15,0.23,0.065,0.065,,,0.025,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a2099/f9/pv160927.pdf
STEM,2016-08-30,2016-09-05,FALSE,National,,1013,0.56,,0.1,0.246,0.07,0.03,0.025,,0.143,0.207,0.067,,,0.033,0.025,0.03,,0.084,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,0.033,https://www.stem.cz/stem-volebni-preference-zari-2016/
Kantar,2016-08-06,2016-08-26,FALSE,National,,1200,0.69,841,0.5,0.295,0.095,0.035,0.035,,0.11,0.18,0.05,0.065,,,0.035,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,https://ct24.ceskatelevize.cz/sites/default/files/1800227-trendy_ceska_2016_vlna_27_volebni_model.pdf
Median,2016-07-04,2016-08-04,FALSE,National,,1241,0.6,,0.5,0.255,0.085,0.035,0.02,,0.15,0.21,0.06,0.085,,0.025,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/docs/MEDIAN_Snemovni_volebni_model_2016_07.pdf
Kantar,2016-07-23,2016-07-29,FALSE,National,,1200,0.68,823,0.5,0.285,0.1,0.02,0.035,,0.105,0.16,0.07,0.065,0.025,0.02,0.045,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://ct24.ceskatelevize.cz/sites/default/files/1786080-trendy_ceska_2016_vlna_26_cervenec.pdf
Median,2016-06-06,2016-07-03,FALSE,National,,991,0.595,,0.5,0.245,0.09,0.04,,,0.16,0.195,0.075,0.08,,0.02,0.025,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://www.median.eu/cs/wp-content/uploads/docs/MEDIAN_Snemovni_volebni_model_2016_06.pdf
Kantar,2016-06-27,2016-07-01,FALSE,National,,600,0.66,405,0.5,0.285,0.095,0.04,0.035,,0.09,0.185,0.07,0.085,0.02,0.025,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://ct24.ceskatelevize.cz/sites/default/files/1769639-trendy_ceska_2016_vlna_25_volebni_model.pdf
STEM,2016-06-13,2016-06-21,FALSE,National,,1061,0.57,,0.1,0.292,0.071,0.047,0.045,,0.136,0.184,0.065,,,0.024,0.025,0.016,,0.058,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,0.024,https://www.stem.cz/volebni-preference-cerven-2016/
CVVM,2016-06-03,2016-06-20,FALSE,National,,951,0.59,519,0.5,0.235,0.07,0.025,0.04,,0.16,0.245,0.09,0.07,,,0.025,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://cvvm.soc.cas.cz/media/com_form2content/documents/c2/a2074/f9/pv160623.pdf
